Progress,SamplesPer(seconds),Runtime(seconds),ETA(seconds),Cost
40.4,52358.4,224,341,0.0962779
40.6,52618.8,225,338,0.0967558
40.8,52975.5,227,335,0.096356
41,53233.8,228,332,0.0997473
41.2,53395.1,229,330,0.099178
41.4,52789.2,230,333,0.0955502
41.6,53292.5,231,328,0.0953265
41.8,53010.5,232,329,0.0958872
42,53333.9,233,326,0.0974362
42.2,53661.6,234,323,0.0959695
42.4,52246,236,330,0.0997549
42.6,53425.3,237,322,0.0964059
42.8,53470,238,320,0.0977755
43,53900.9,239,317,0.0978642
43.2,52769.6,240,322,0.101243
43.4,53703,241,316,0.096819
43.6,53950.7,242,313,0.0970324
43.8,53848.5,243,313,0.0975126
44,53674.7,245,312,0.0967769
44.2,53446.4,246,313,0.100171
44.4,52761.7,247,316,0.103377
44.6,53175.6,248,312,0.0995499
44.8,52050.8,249,318,0.0979944
45,52379.7,250,315,0.0978035
45.2,52779.9,251,311,0.0973004
45.4,52448.4,253,312,0.0939379
45.6,53136.5,254,307,0.10029
45.8,51200.1,255,317,0.105516
46,50514.7,256,320,0.0985957
46.2,50853.9,257,317,0.0971819
46.4,51026.5,258,315,0.100423
46.6,52945.8,260,302,0.0958829
46.8,53232.7,261,299,0.099415
47,53166.4,262,299,0.104812
47.2,53948.7,263,293,0.0985343
47.4,53706.8,264,293,0.102323
47.6,53504.8,265,293,0.0942606
47.8,52922.3,266,295,0.0980645
48,51787.2,267,301,0.095272
48.2,53857.9,269,288,0.0969133
48.4,53586.1,270,288,0.0972795
48.6,52624.4,271,293,0.102736
48.8,52577.7,272,292,0.0963872
49,53539.7,273,285,0.0964599
49.2,54012.1,274,282,0.096543
49.4,53791.3,275,282,0.0946298
49.6,53603,276,282,0.0967106
49.8,52568.8,278,286,0.0976031
50,53399.5,279,280,0.100872
50.2,53032.6,280,281,0.0971343
50.4,53364.6,281,278,0.126358
50.6,53810.4,282,275,0.102336
50.8,53859.8,283,274,0.100924
51,54132.6,284,271,0.0973077
51.2,54575.8,285,268,0.102009
51.4,54052.5,286,269,0.0999376
51.6,54418.3,288,266,0.098503
51.8,54506.6,289,265,0.0990385
52,54245.6,290,265,0.101677
52.2,54002.2,291,265,0.104615
52.4,53737.9,292,265,0.100035
52.6,54555.4,293,260,0.0986775
52.8,53741.2,294,263,0.100132
53,54025.5,295,260,0.0976285
53.2,53491.9,296,262,0.0968613
53.4,53938.9,298,259,0.111261
53.6,54473.3,299,255,0.0992601
53.8,54861,300,252,0.113825
54,54086.1,301,255,0.100256
54.2,54408.8,302,252,0.0988423
54.4,54409.9,303,251,0.10287
54.6,54360,304,250,0.0992264
54.8,53485.8,305,253,0.103988
55,54428.8,306,248,0.0953209
55.2,54484.3,307,246,0.105251
55.4,53698,309,249,0.0981043
55.6,53814.9,310,247,0.100904
55.8,54157.8,311,244,0.0962786
56,53401.2,312,247,0.0982829
56.2,54103.7,313,242,0.09788
56.4,53421.4,314,244,0.0980673
56.6,53916.4,315,241,0.0960599
56.8,52336.2,316,247,0.0992783
57,51275.7,318,251,0.101089
57.2,51574.6,319,248,0.100958
57.4,51360.2,320,248,0.0985501
57.6,53275.7,321,238,0.100488
57.8,51340.5,322,246,0.100122
58,50676.2,323,248,0.0988414
58.2,53921.3,325,232,0.0967546
58.4,53959.3,326,231,0.0995804
58.6,54089.4,327,229,0.100501
58.8,53304.2,328,231,0.103239
59,50303.8,329,244,0.100073
59.2,52779,330,231,0.104807
59.4,53062.1,331,229,0.0982946
59.6,53440.4,332,226,0.0972153
59.8,52977.6,334,227,0.0976821
60,52662.6,335,227,0.100526
60.2,51378.9,336,232,0.101613
60.4,50888.6,337,233,0.101591
60.6,49747.2,338,237,0.0983953
60.8,50091.2,339,234,0.100036
61,50044,341,233,0.0976196
61.2,50752.4,342,229,0.103404
61.4,51521,343,224,0.103075
61.6,50814.9,344,226,0.105005
61.8,52196.4,345,219,0.0990139
62,50841.8,347,224,0.0975243
62.2,50606,348,224,0.0979486
62.4,50417.5,349,223,0.0999639
62.6,50349.6,350,222,0.0967642
62.8,51004.3,351,218,0.0966501
63,51169.4,352,216,0.0968533
63.2,51203.9,354,215,0.0954035
63.4,51157.9,355,214,0.0961354
63.6,50976.3,356,214,0.0988732
63.8,51667.1,357,210,0.097033
64,50550.9,358,213,0.0946623
64.2,50908.4,360,210,0.094511
64.4,51156.8,361,208,0.106217
64.6,50705.3,362,209,0.095413
64.8,51408.4,363,205,0.0968568
65,51789.9,364,202,0.0981134
65.2,50916.3,365,205,0.0998268
65.4,51667.6,367,200,0.0995349
65.6,51178.8,368,201,0.0993879
65.8,51506.4,369,199,0.0974815
66,52175.7,370,195,0.0982205
66.2,51413.5,371,197,0.101959
66.4,51109.6,372,197,0.100969
66.6,50953.7,374,196,0.0955493
66.8,54438.1,375,182,0.10563
67,54763.5,376,180,0.119917
67.2,52616.4,377,187,0.0970542
67.4,54980.9,378,177,0.0962897
67.6,54891,379,177,0.0983523
67.8,54812.6,380,176,0.103047
68,54008,381,177,0.103432
68.2,54868.4,382,173,0.12233
68.4,54473.6,383,174,0.0998721
68.6,54713.4,385,172,0.0936991
68.8,54261.9,386,172,0.0980145
69,53755.7,387,173,0.0966353
69.2,55124.9,388,167,0.102459
69.4,54709.2,389,167,0.0984633
69.6,55048.1,390,165,0.100849
69.8,54415.8,391,166,0.0996185
70,54576,392,164,0.101369
70.2,55061.3,393,162,0.103121
70.4,54808.1,394,162,0.0988476
70.6,54705.8,396,161,0.0991377
70.8,54781.5,397,159,0.107849
71,53931.3,398,161,0.112792
71.2,54883,399,157,0.105323
71.4,55028.5,400,155,0.100752
71.6,55216.6,401,154,0.0976664
71.8,53207.3,402,159,0.0996859
72,54035.1,403,155,0.100728
72.2,52309.4,404,159,0.104324
72.4,52815.7,406,156,0.0980601
72.6,53677.9,407,153,0.0991494
72.8,53163.9,408,153,0.0994157
73,52553.5,409,154,0.101744
73.2,52419.9,410,153,0.100191
73.4,51083.2,411,156,0.103881
73.6,54098.1,412,146,0.101368
73.8,53873.1,413,145,0.102821
74,53905,415,144,0.103234
74.2,54457,416,142,0.0984294
74.4,54396.9,417,141,0.100217
74.6,54668,418,139,0.101292
74.8,53759.4,419,140,0.0981363
75,54496.8,420,137,0.100916
75.2,54610.7,421,136,0.10261
75.4,54788.6,422,134,0.106817
75.6,54439.3,423,134,0.100502
75.8,53956.4,425,134,0.0995173
76,54724.2,426,131,0.0995036
76.2,54889.4,427,130,0.0998234
76.4,54783.9,428,129,0.0998632
76.6,54372.9,429,129,0.0978644
76.8,53910.1,430,129,0.102619
77,54585,431,126,0.0989213
77.2,54283.5,432,126,0.0975364
77.4,54560.2,433,124,0.100704
77.6,54994.7,434,122,0.10318
77.8,54318.2,436,122,0.10507
78,55073,437,119,0.0997704
78.2,55288.9,438,118,0.101662
78.4,54954.1,439,117,0.0974735
78.6,54782,440,117,0.0968958
78.8,54434.8,441,116,0.0985994
79,55309.9,442,113,0.0958783
79.2,54758.1,443,113,0.100414
79.4,55207.3,444,111,0.100944
79.6,54577.6,445,112,0.109274
79.8,54907.4,446,110,0.10031
80,55033.1,448,109,0.0983952
80.2,54674,449,108,0.0993446
80.4,53569.8,450,109,0.102049
80.6,52692,451,110,0.105025
80.8,53965.5,452,106,0.0987359
81,54113.1,453,105,0.100036
81.2,54812.8,454,102,0.0997215
81.4,54730.5,455,101,0.0964674
81.6,55129.4,456,100,0.103064
81.8,55306.8,457,98,0.103686
82,54676.5,459,98,0.0987449
82.2,55051.8,460,96,0.0998445
82.4,54311.5,461,97,0.0968615
82.6,54860.6,462,95,0.0997322
82.8,54495.9,463,94,0.102721
83,55009.2,464,92,0.0990876
83.2,54841.7,465,91,0.0970385
83.4,53937.8,466,92,0.0992881
83.6,54683,467,89,0.100563
83.8,54658.8,468,88,0.100349
84,54883.7,470,87,0.0985877
84.2,54969.9,471,86,0.0988657
84.4,54583,472,85,0.0993611
84.6,55069.4,473,83,0.0974765
84.8,54737.4,474,83,0.096445
85,53110.2,475,84,0.100132
85.2,54900.6,476,80,0.0982747
85.4,54030.2,477,81,0.095169
85.6,55062.2,478,78,0.114908
85.8,55316.3,479,77,0.103001
86,54821,481,76,0.105661
86.2,54398.2,482,76,0.101526
86.4,55486.2,483,73,0.100046
86.6,55406.7,484,72,0.0969734
86.8,55386.4,485,71,0.100217
87,55051.4,486,70,0.0948957
87.2,54721.9,487,70,0.106118
87.4,55072.5,488,68,0.105404
87.6,54769.8,489,67,0.096727
87.8,53874.5,490,67,0.0999263
88,53945.9,491,66,0.0989593
88.2,53055,493,66,0.0987643
88.4,54035.5,494,64,0.10138
88.6,54164.5,495,63,0.0964461
88.8,53933,496,62,0.100043
89,54637.5,497,60,0.0997125
89.2,54469.4,498,59,0.100998
89.4,55126.5,499,57,0.0981402
89.6,55116.8,500,56,0.114619
89.8,55559.4,501,55,0.0985245
90,54973.7,502,54,0.0957959
90.2,55313.3,504,53,0.0977375
90.4,55369.5,505,52,0.0947382
90.6,54994.5,506,51,0.100408
90.8,55085.7,507,50,0.102134
91,54574.1,508,49,0.0987952
91.2,55291.4,509,47,0.107515
91.4,55242.5,510,46,0.102563
91.6,55565.6,511,45,0.102339
91.8,54585.9,512,45,0.103117
92,54399.5,513,44,0.0989546
92.2,55127.3,514,42,0.0997356
92.4,54915.8,516,41,0.101414
92.6,55128.5,517,40,0.10107
92.8,54325.2,518,39,0.0982648
93,54874.8,519,38,0.0961625
93.2,55046.6,520,37,0.098036
93.4,54122.7,521,36,0.0979284
93.6,54517.6,522,35,0.0990856
93.8,53895.5,523,34,0.0959479
94,54538.8,524,33,0.0952056
94.2,55348.8,525,31,0.0964833
94.4,55369.4,527,30,0.101779
94.6,55482.4,528,29,0.102041
94.8,54419.5,529,28,0.10083
95,55124.8,530,27,0.0967479
95.2,55097.1,531,26,0.102094
95.4,55068.5,532,25,0.0938792
95.6,54615,533,24,0.0977294
95.8,55026.2,534,22,0.100557
96,54964,535,21,0.0982726
96.2,54939.3,536,20,0.10013
96.4,55217.6,537,19,0.115535
96.6,54894.3,539,18,0.101072
96.8,55154.8,540,17,0.101813
97,55378.7,541,16,0.0995725
97.2,55405.1,542,15,0.101185
97.4,54606.1,543,14,0.100649
97.6,55340.8,544,13,0.0987049
97.8,55519.3,545,11,0.0953093
98,55754.1,546,10,0.0991057
98.2,55762.3,547,9,0.099675
98.4,54985.7,548,8,0.0981051
98.6,55638.7,549,7,0.104783
98.8,55587.4,550,6,0.0976794
99,55624.6,552,5,0.100542
99.2,55559.8,553,4,0.0954753
99.4,54639.9,554,3,0.100178
99.6,55550.2,555,2,0.102892
99.8,55903.8,556,1,0.0999721
100,55695.1,557,0,0.0973018
