Progress,SamplesPer(seconds),Runtime(seconds),ETA(seconds),Cost
0,0,0,0,2.1843
0.2,97461.3,0,307,0.188151
0.4,85988.7,1,347,0.157345
0.6,83569.2,2,356,0.154039
0.8,82414.4,2,361,0.137075
1,79090.4,3,375,0.129669
1.2,77280.4,4,383,0.13089
1.4,75052.5,5,394,0.126282
1.6,74686.8,5,395,0.114845
1.8,71335.7,6,412,0.123226
2,69488.8,7,423,0.113652
2.2,69610.7,8,421,0.115558
2.4,67697,9,432,0.115954
2.6,66654.8,10,438,0.108818
2.8,65449.4,11,445,0.108923
3,63790.7,12,456,0.107384
3.2,63676.3,13,456,0.114017
3.4,62870.3,14,460,0.105557
3.6,62965.8,14,459,0.111139
3.8,60850.1,15,474,0.113069
4,60285.4,16,477,0.11927
4.2,56038,18,512,0.10345
4.4,56320.6,19,509,0.103755
4.6,60146.1,20,475,0.108045
4.8,59728.1,21,478,0.111474
5,59827.8,22,476,0.10195
5.2,59591.6,23,477,0.105845
5.4,59740.7,24,475,0.110103
5.6,59721.6,25,474,0.10755
5.8,59641.4,26,473,0.101751
6,57789.2,27,487,0.104744
6.2,58629,28,479,0.110315
6.4,57542.1,29,487,0.10531
6.6,56458.5,30,496,0.102361
6.8,55318.7,31,505,0.101475
7,55916.4,32,498,0.11508
7.2,54057.4,33,515,0.105315
7.4,54642.1,34,508,0.108294
7.6,54887.4,35,505,0.111443
7.8,55159,36,501,0.105183
8,54177.5,37,509,0.104864
8.2,54321.9,39,506,0.0986206
8.4,54301.1,40,506,0.102435
8.6,53657.1,41,511,0.100657
8.8,53892.9,42,507,0.100492
9,56432.3,43,483,0.105204
9.2,55385.1,44,491,0.0968903
9.4,56513.4,45,480,0.103603
9.6,55061.8,46,492,0.10669
9.8,55449.6,47,488,0.107254
10,55602.6,48,485,0.10386
10.2,52979,49,508,0.097748
10.4,53402.7,51,503,0.0984847
10.6,52896.8,52,507,0.105218
10.8,52537.5,53,509,0.0994843
11,53755.3,54,496,0.109105
11.2,54640.7,55,487,0.0963498
11.4,53941.6,56,492,0.100797
11.6,53515.3,57,495,0.0977626
11.8,52811.8,58,501,0.10253
12,52842,60,499,0.10146
12.2,51784.4,61,508,0.100329
12.4,52850.2,62,497,0.100255
12.6,52827.9,63,496,0.112411
12.8,52346.1,64,499,0.0997789
13,53234.2,65,490,0.0983525
13.2,52600.3,66,495,0.0980988
13.4,52809.7,68,491,0.0981206
13.6,52625.9,69,492,0.0988633
13.8,52312.6,70,494,0.095266
14,52095.2,71,495,0.100536
14.2,52066.2,72,494,0.105618
14.4,52265.9,73,491,0.101148
14.6,52397.7,74,488,0.0983447
14.8,52383.9,76,487,0.094682
15,51934.2,77,491,0.0976578
15.2,51557.2,78,493,0.101021
15.4,52209.9,79,486,0.0989726
15.6,51423.4,80,492,0.104469
15.8,52352.4,81,482,0.0948173
16,51096,83,493,0.0948061
16.2,52124.4,84,482,0.102391
16.4,51880.1,85,483,0.10004
16.6,52056.4,86,480,0.0969061
16.8,51798.9,87,481,0.0973579
17,51069.6,88,487,0.0966489
17.2,53093.6,89,467,0.0960054
17.4,53695.7,91,461,0.103614
17.6,53608.5,92,461,0.0961024
17.8,54317.6,93,453,0.0987355
18,53988.8,94,455,0.0978994
18.2,53363.1,95,459,0.0964749
18.4,53848,96,454,0.0952379
18.6,53720.5,97,454,0.102639
18.8,54022.2,98,450,0.0937349
19,53438.6,100,454,0.101416
19.2,54239.4,101,446,0.107048
19.4,53601.3,102,451,0.100684
19.6,54534.5,103,442,0.106281
19.8,53551.2,104,449,0.103011
20,53452.2,105,448,0.0981186
20.2,53251.9,106,449,0.105159
20.4,50619.2,107,471,0.0937387
20.6,49767.4,109,478,0.0966563
20.8,51674.2,110,459,0.104284
21,54046.9,111,438,0.09673
21.2,53779.4,112,439,0.0938481
21.4,53694.7,113,439,0.0981494
21.6,53228.8,114,441,0.101697
21.8,53881.7,115,435,0.0971766
22,53825.9,116,434,0.100347
22.2,53553.6,118,435,0.0992038
22.4,53900.3,119,431,0.0998219
22.6,53181.5,120,436,0.0965146
22.8,51355.3,121,450,0.0988539
23,50331.9,122,458,0.0994782
23.2,49814.3,123,462,0.0949915
23.4,50234.4,125,457,0.0984991
23.6,50363.3,126,455,0.0993006
23.8,50109.7,127,456,0.0996419
24,50186.7,128,454,0.0983929
24.2,51158.2,129,444,0.100968
24.4,50148.7,131,452,0.0982754
24.6,49796.5,132,454,0.093967
24.8,50157.3,133,449,0.103986
25,49797.4,134,451,0.0970923
25.2,50333.5,135,445,0.0992668
25.4,50520.9,137,442,0.10005
25.6,50969.7,138,437,0.0977377
25.8,51243.2,139,434,0.102414
26,51149.8,140,434,0.0986737
26.2,50181.7,141,441,0.0986459
26.4,49267.1,142,448,0.100775
26.6,50413.1,144,436,0.102343
26.8,50512,145,434,0.100931
27,53273.3,146,411,0.0960421
27.2,51911.2,147,420,0.100654
27.4,50914.1,148,427,0.107899
27.6,51091.9,149,425,0.102716
27.8,51037.9,151,424,0.102824
28,50577.4,152,427,0.103703
28.2,50601.3,153,425,0.103023
28.4,51458.6,154,417,0.0983102
28.6,50603.3,155,423,0.100914
28.8,50521.8,157,422,0.105472
29,51129.6,158,416,0.0961727
29.2,50460.8,159,420,0.0990673
29.4,51074.1,160,414,0.101546
29.6,51122.3,161,413,0.100843
29.8,50102.8,162,420,0.0982726
30,50403.6,164,416,0.09769
30.2,50372.3,165,415,0.101038
30.4,50849.4,166,410,0.10024
30.6,50522.3,167,412,0.0992265
30.8,49686.8,168,417,0.0990138
31,49689.1,170,416,0.0986468
31.2,50351.4,171,409,0.0983574
31.4,50498.3,172,407,0.0936032
31.6,50305.7,173,407,0.0977981
31.8,50643.1,174,404,0.0959356
32,51125.1,176,399,0.0980095
32.2,51830.1,177,392,0.0986247
32.4,53259.3,178,380,0.105017
32.6,52314.6,179,386,0.0956543
32.8,51771.8,180,389,0.0979729
33,51628.7,181,389,0.103601
33.2,52521.5,182,381,0.105078
33.4,50806.7,184,393,0.0975896
33.6,50204.9,185,396,0.0969889
33.8,49626.6,186,400,0.0969344
34,50509.7,187,392,0.0990684
34.2,50450.7,188,391,0.0938597
34.4,49950.6,190,393,0.104473
34.6,51625.2,191,380,0.0916626
34.8,52480.1,192,372,0.0975604
35,53401.9,193,365,0.104352
35.2,53311.2,194,364,0.0968232
35.4,53282.9,195,363,0.0941897
35.6,52917,196,365,0.0937623
35.8,53746,198,358,0.0976026
36,53989.2,199,355,0.103482
36.2,53599.3,200,357,0.0950366
36.4,53743.7,201,355,0.09996
36.6,52598.5,202,361,0.0962562
36.8,53586.9,203,353,0.0947779
37,53272.2,204,354,0.101029
37.2,51372.7,205,366,0.0965503
37.4,51257.3,207,366,0.0962036
37.6,50811.4,208,368,0.100846
37.8,50740.3,209,367,0.0983491
38,51052,210,364,0.0976233
38.2,50382,211,367,0.0950156
38.4,50195.3,213,368,0.101791
38.6,50517.3,214,364,0.0942298
38.8,50408.7,215,364,0.0953412
39,50992.3,216,358,0.100212
39.2,50677,217,359,0.0968689
39.4,50931.5,218,356,0.0967756
39.6,49960.8,220,362,0.0944307
39.8,50315.8,221,358,0.102888
40,50761.4,222,354,0.0998254
40.2,53414.6,223,335,0.102292
